latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,region_tag
29.47725,76.85763,310.55,0.37,0.58,2026-09-03,2002,N20,nominal,2.0NRT,289.14,6.79,N,punjab_agriculture
21.1702,72.67035,302.88,0.58,0.7,2026-09-03,2144,N20,nominal,2.0NRT,287.41,2.07,N,gujarat_industrial
21.16396,72.66865,320.12,0.58,0.7,2026-09-03,2144,N20,nominal,2.0NRT,287.33,2.07,N,gujarat_industrial
21.11042,72.64252,302.58,0.58,0.7,2026-09-03,2144,N20,nominal,2.0NRT,286.94,1.64,N,gujarat_industrial
21.1091,72.64794,303.32,0.58,0.7,2026-09-03,2144,N20,nominal,2.0NRT,287.57,1.64,N,gujarat_industrial
21.10634,72.64722,303.47,0.58,0.7,2026-09-03,2144,N20,nominal,2.0NRT,287.36,1.48,N,gujarat_industrial
21.10505,72.65266,303.05,0.58,0.7,2026-09-03,2144,N20,nominal,2.0NRT,287.14,1.48,N,gujarat_industrial
29.47733,76.8575,334.66,0.66,0.73,2026-09-03,2142,N20,nominal,2.0NRT,288.13,5.4,N,punjab_agriculture
29.47375,76.85448,316.52,0.66,0.73,2026-09-03,2142,N20,nominal,2.0NRT,287.5,3.16,N,punjab_agriculture
29.47193,76.86103,313.99,0.66,0.73,2026-09-03,2142,N20,nominal,2.0NRT,287.4,3.16,N,punjab_agriculture
29.90804,74.94972,304.42,0.5,0.66,2026-09-03,2142,N20,nominal,2.0NRT,290.39,0.96,N,punjab_agriculture
20.88834,84.98114,329.15,0.4,0.44,2026-09-04,0716,N20,nominal,2.0NRT,289.91,2.35,D,eastern_ghats_forest
22.92564,70.10651,330.89,0.4,0.44,2026-09-04,0856,N20,low,2.0NRT,303.22,6.03,D,gujarat_industrial
29.90779,74.95393,334.59,0.48,0.64,2026-09-04,0858,N20,nominal,2.0NRT,293.52,3.63,D,punjab_agriculture
20.88974,84.98213,306.9,0.55,0.43,2026-09-04,1945,N20,nominal,2.0NRT,290.82,1.59,N,eastern_ghats_forest
20.88582,84.98159,307.64,0.55,0.43,2026-09-04,1945,N20,nominal,2.0NRT,291.13,2.05,N,eastern_ghats_forest
20.872,84.9957,305.34,0.55,0.43,2026-09-04,1945,N20,nominal,2.0NRT,290.71,1.46,N,eastern_ghats_forest
20.86484,84.98934,323.11,0.55,0.43,2026-09-04,1945,N20,nominal,2.0NRT,291.81,2.92,N,eastern_ghats_forest
20.86552,84.9841,305.95,0.55,0.43,2026-09-04,1945,N20,nominal,2.0NRT,290.19,0.94,N,eastern_ghats_forest
20.86416,84.99455,306.71,0.55,0.43,2026-09-04,1945,N20,nominal,2.0NRT,291.36,2.92,N,eastern_ghats_forest
19.10354,82.16685,305.84,0.52,0.5,2026-09-04,1947,N20,nominal,2.0NRT,290.14,1.37,N,eastern_ghats_forest
19.09895,82.16625,310.93,0.52,0.5,2026-09-04,1947,N20,nominal,2.0NRT,289.45,1.37,N,eastern_ghats_forest
19.10384,82.16526,302.63,0.52,0.5,2026-09-04,1947,N20,nominal,2.0NRT,289.75,1.53,N,eastern_ghats_forest
19.09925,82.16467,310.06,0.52,0.5,2026-09-04,1947,N20,nominal,2.0NRT,289.21,2.96,N,eastern_ghats_forest
19.09347,82.17397,303.72,0.52,0.5,2026-09-04,1947,N20,nominal,2.0NRT,289.7,1.55,N,eastern_ghats_forest
22.93045,70.10779,305.4,0.56,0.43,2026-09-04,2125,N20,nominal,2.0NRT,293.7,3.36,N,gujarat_industrial
22.93466,69.69984,313.25,0.54,0.42,2026-09-04,2125,N20,nominal,2.0NRT,294.09,3.11,N,gujarat_industrial
31.25863,76.92339,299.65,0.32,0.55,2026-09-04,2123,N20,nominal,2.0NRT,286.47,0.74,N,punjab_agriculture
31.25797,76.92616,299.97,0.32,0.55,2026-09-04,2123,N20,nominal,2.0NRT,287.19,1,N,punjab_agriculture
20.86409,84.99059,331.74,0.4,0.6,2026-09-05,0657,N20,nominal,2.0NRT,292.61,4.32,D,eastern_ghats_forest
22.41711,69.04068,332.95,0.39,0.36,2026-09-05,0837,N20,nominal,2.0NRT,302.11,3.14,D,gujarat_industrial
22.7807,69.45878,347.66,0.38,0.36,2026-09-05,0837,N20,nominal,2.0NRT,304.55,5.93,D,gujarat_industrial
22.93241,69.69872,333.68,0.38,0.36,2026-09-05,0837,N20,nominal,2.0NRT,297.33,4.1,D,gujarat_industrial
19.10137,82.16523,308.25,0.54,0.68,2026-09-05,1925,N20,nominal,2.0NRT,286.07,2.07,N,eastern_ghats_forest
31.25992,76.92314,300.63,0.53,0.42,2026-09-05,2104,N20,nominal,2.0NRT,289.45,0.4,N,punjab_agriculture
29.47778,76.85781,305.57,0.56,0.43,2026-09-05,2104,N20,nominal,2.0NRT,290.94,1.29,N,punjab_agriculture
22.41734,69.04001,305.17,0.39,0.36,2026-09-05,2106,N20,nominal,2.0NRT,292.74,1.21,N,gujarat_industrial
21.1022,72.63403,303,0.46,0.39,2026-09-05,2106,N20,nominal,2.0NRT,289.7,2.97,N,gujarat_industrial
19.10254,82.16389,306.83,0.64,0.72,2026-09-05,2106,N20,nominal,2.0NRT,284.85,1.65,N,eastern_ghats_forest
19.10114,82.16985,299.56,0.64,0.72,2026-09-05,2106,N20,nominal,2.0NRT,284.92,1.41,N,eastern_ghats_forest
21.10128,72.65502,335.5,0.41,0.37,2026-09-06,0818,N20,low,2.0NRT,299.25,5.59,D,gujarat_industrial
21.10338,72.6466,336.51,0.41,0.37,2026-09-06,0818,N20,low,2.0NRT,301.02,7.78,D,gujarat_industrial
21.10146,72.63491,336.9,0.41,0.37,2026-09-06,0818,N20,nominal,2.0NRT,300.88,8.87,D,gujarat_industrial
21.10677,72.64597,342.58,0.41,0.37,2026-09-06,0818,N20,nominal,2.0NRT,301.86,17.78,D,gujarat_industrial
22.49699,70.026,338.11,0.5,0.41,2026-09-06,0820,N20,nominal,2.0NRT,300.52,7.52,D,gujarat_industrial
31.13125,74.60674,333.54,0.43,0.38,2026-09-06,0822,N20,nominal,2.0NRT,297.54,4.08,D,punjab_agriculture
20.88878,84.97369,302.11,0.75,0.77,2026-09-06,1906,N20,nominal,2.0NRT,283.53,1.3,N,eastern_ghats_forest
20.88829,84.98077,301.28,0.75,0.77,2026-09-06,1906,N20,nominal,2.0NRT,283.86,1.3,N,eastern_ghats_forest
19.10323,82.16578,308.43,0.63,0.54,2026-09-06,2049,N20,nominal,2.0NRT,288.38,2.12,N,eastern_ghats_forest
19.10193,82.16513,300.95,0.63,0.54,2026-09-06,2049,N20,nominal,2.0NRT,288,0.97,N,eastern_ghats_forest
19.09703,82.16398,302.97,0.63,0.54,2026-09-06,2049,N20,nominal,2.0NRT,287.82,0.97,N,eastern_ghats_forest
29.47528,76.8589,330.15,0.39,0.36,2026-09-06,2046,N20,nominal,2.0NRT,294.17,4.54,N,punjab_agriculture
20.8901,84.98042,304.51,0.44,0.63,2026-09-06,2049,N20,nominal,2.0NRT,286.19,1.24,N,eastern_ghats_forest
20.86487,84.98684,321.44,0.44,0.63,2026-09-06,2049,N20,nominal,2.0NRT,286.55,1.7,N,eastern_ghats_forest
20.86389,84.99117,309.71,0.44,0.63,2026-09-06,2049,N20,nominal,2.0NRT,286.74,1.7,N,eastern_ghats_forest
22.93556,69.69945,307.35,0.54,0.42,2026-09-06,2049,N20,nominal,2.0NRT,293.2,2.99,N,gujarat_industrial
21.43295,72.97732,314.63,0.39,0.36,2026-09-06,2049,N20,nominal,2.0NRT,290.76,1.49,N,gujarat_industrial
19.0995,82.16937,334.66,0.42,0.38,2026-09-07,0758,N20,nominal,2.0NRT,299.24,4.49,D,eastern_ghats_forest
19.10239,82.16484,332.4,0.42,0.38,2026-09-07,0758,N20,nominal,2.0NRT,299.62,4.49,D,eastern_ghats_forest
20.86253,84.9941,333.85,0.41,0.45,2026-09-07,0801,N20,nominal,2.0NRT,296.09,4.78,D,eastern_ghats_forest
20.86206,84.99013,340.33,0.41,0.45,2026-09-07,0801,N20,nominal,2.0NRT,295.76,4.78,D,eastern_ghats_forest
20.87122,84.99692,341.45,0.41,0.45,2026-09-07,0801,N20,nominal,2.0NRT,295.73,4.38,D,eastern_ghats_forest
20.88621,84.98294,337.22,0.41,0.45,2026-09-07,0801,N20,nominal,2.0NRT,296.21,4.17,D,eastern_ghats_forest
21.10521,72.64474,328.52,0.45,0.63,2026-08-31,2004,N21,nominal,2.0NRT,285.25,6.75,N,gujarat_industrial
22.39004,73.12098,309.44,0.73,0.76,2026-08-31,2144,N21,nominal,2.0NRT,270.65,4.01,N,gujarat_industrial
22.3833,73.1189,311.62,0.73,0.76,2026-08-31,2144,N21,nominal,2.0NRT,268.93,2.43,N,gujarat_industrial
31.1218,74.69038,353.18,0.42,0.61,2026-09-01,0720,N21,nominal,2.0NRT,293.24,13.13,D,punjab_agriculture
31.1214,74.69007,350.72,0.42,0.61,2026-09-01,0720,N21,nominal,2.0NRT,292.99,10.48,D,punjab_agriculture
22.93195,69.69841,303.97,0.44,0.46,2026-09-01,2125,N21,nominal,2.0NRT,286.95,1.21,N,gujarat_industrial
21.10544,72.64433,333.95,0.52,0.41,2026-09-02,0837,N21,nominal,2.0NRT,292.7,5.69,D,gujarat_industrial
21.10416,72.63442,335.35,0.52,0.41,2026-09-02,0837,N21,nominal,2.0NRT,290.75,8.63,D,gujarat_industrial
31.09241,74.68892,335.77,0.6,0.53,2026-09-02,0839,N21,nominal,2.0NRT,295.36,4.61,D,punjab_agriculture
31.12882,74.65296,339.88,0.6,0.53,2026-09-02,0839,N21,nominal,2.0NRT,294.93,7.4,D,punjab_agriculture
20.89001,84.97901,314.27,0.58,0.52,2026-09-02,1925,N21,nominal,2.0NRT,285.43,3.31,N,eastern_ghats_forest
20.8899,84.98321,316.9,0.58,0.52,2026-09-02,1925,N21,nominal,2.0NRT,285.7,4.13,N,eastern_ghats_forest
20.86519,84.98612,316.15,0.58,0.52,2026-09-02,1925,N21,nominal,2.0NRT,286.58,3.42,N,eastern_ghats_forest
20.86458,84.99162,307.49,0.58,0.52,2026-09-02,1925,N21,nominal,2.0NRT,286.53,3.42,N,eastern_ghats_forest
22.92629,69.82218,305.4,0.4,0.37,2026-09-02,2108,N21,nominal,2.0NRT,293.72,1.74,N,gujarat_industrial
22.93328,69.69582,318.9,0.4,0.37,2026-09-02,2108,N21,nominal,2.0NRT,292.01,1.42,N,gujarat_industrial
22.93265,69.69967,310.89,0.4,0.37,2026-09-02,2108,N21,nominal,2.0NRT,291.53,1.42,N,gujarat_industrial
22.93201,69.70352,305.43,0.4,0.37,2026-09-02,2108,N21,nominal,2.0NRT,292.37,1.56,N,gujarat_industrial
22.92994,69.69517,302.4,0.4,0.37,2026-09-02,2108,N21,nominal,2.0NRT,289.38,0.57,N,gujarat_industrial
22.33987,69.85667,307.95,0.41,0.37,2026-09-02,2108,N21,nominal,2.0NRT,295.24,2.26,N,gujarat_industrial
22.33454,69.86774,310.66,0.41,0.37,2026-09-02,2108,N21,nominal,2.0NRT,296.02,3.38,N,gujarat_industrial
21.16569,72.67112,316.32,0.56,0.43,2026-09-02,2108,N21,nominal,2.0NRT,291.74,3.52,N,gujarat_industrial
21.11116,72.63615,312.42,0.55,0.43,2026-09-02,2108,N21,nominal,2.0NRT,292.67,3.17,N,gujarat_industrial
21.10537,72.64582,338.79,0.55,0.43,2026-09-02,2108,N21,nominal,2.0NRT,292.98,13.36,N,gujarat_industrial
21.10441,72.65108,305.34,0.56,0.43,2026-09-02,2108,N21,nominal,2.0NRT,291.72,1.8,N,gujarat_industrial
21.10342,72.63448,331.44,0.55,0.43,2026-09-02,2108,N21,nominal,2.0NRT,292.86,11.47,N,gujarat_industrial
21.10053,72.65025,308.09,0.56,0.43,2026-09-02,2108,N21,nominal,2.0NRT,291.26,1.8,N,gujarat_industrial
21.10363,72.64727,341.64,0.39,0.36,2026-09-03,0820,N21,nominal,2.0NRT,302.04,9.19,D,gujarat_industrial
21.10192,72.63627,339.66,0.39,0.36,2026-09-03,0820,N21,nominal,2.0NRT,300.92,9.64,D,gujarat_industrial
21.10691,72.6467,353,0.39,0.36,2026-09-03,0820,N21,nominal,2.0NRT,303.51,9.19,D,gujarat_industrial
21.1085,72.63512,338.53,0.39,0.36,2026-09-03,0820,N21,nominal,2.0NRT,301.34,6.92,D,gujarat_industrial
21.16552,72.67063,343.59,0.38,0.36,2026-09-03,0820,N21,nominal,2.0NRT,300.03,5.56,D,gujarat_industrial
22.92924,70.1059,335.84,0.43,0.38,2026-09-03,0820,N21,low,2.0NRT,303.18,8.52,D,gujarat_industrial
22.92853,70.10656,332.86,0.43,0.38,2026-09-03,0820,N21,low,2.0NRT,302.73,7.14,D,gujarat_industrial
31.16984,75.04272,335.59,0.51,0.41,2026-09-03,0822,N21,nominal,2.0NRT,296.53,4.87,D,punjab_agriculture
31.46605,74.61465,336.94,0.49,0.4,2026-09-03,0822,N21,nominal,2.0NRT,301.01,4.63,D,punjab_agriculture
29.47605,76.85793,329.76,0.41,0.37,2026-09-03,2046,N21,nominal,2.0NRT,293.88,4.09,N,punjab_agriculture
22.96819,72.55517,307.07,0.39,0.36,2026-09-03,2046,N21,nominal,2.0NRT,293.79,0.4,N,gujarat_industrial
22.92464,69.82479,305.3,0.45,0.39,2026-09-03,2046,N21,nominal,2.0NRT,294.49,2.91,N,gujarat_industrial
22.93496,69.69643,307.76,0.46,0.39,2026-09-03,2046,N21,nominal,2.0NRT,293.57,2.03,N,gujarat_industrial
22.93436,69.70084,309.93,0.46,0.39,2026-09-03,2046,N21,nominal,2.0NRT,293.97,2.03,N,gujarat_industrial
22.93139,69.69586,308.31,0.46,0.39,2026-09-03,2046,N21,nominal,2.0NRT,293.95,3.15,N,gujarat_industrial
22.33877,69.8551,308.15,0.44,0.39,2026-09-03,2046,N21,nominal,2.0NRT,295.5,4.3,N,gujarat_industrial
22.41513,69.03777,309.75,0.48,0.4,2026-09-03,2046,N21,nominal,2.0NRT,293.26,3.19,N,gujarat_industrial
22.39963,69.01791,305.54,0.48,0.4,2026-09-03,2046,N21,nominal,2.0NRT,293.77,3.18,N,gujarat_industrial
21.62968,72.911,299.73,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,278.8,0.25,N,gujarat_industrial
21.16664,72.67046,322.83,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,294.07,3.7,N,gujarat_industrial
21.11061,72.63454,307.53,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,294.41,2.17,N,gujarat_industrial
21.10831,72.64921,307.64,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,294.94,2.7,N,gujarat_industrial
21.10559,72.64497,336.85,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,296.19,5.98,N,gujarat_industrial
21.10674,72.63763,308.49,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,294.77,2.86,N,gujarat_industrial
21.10502,72.64862,318.53,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,294.39,5.98,N,gujarat_industrial
21.10345,72.63704,333.77,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,294.36,2.86,N,gujarat_industrial
21.10016,72.63646,332.79,0.38,0.36,2026-09-03,2046,N21,nominal,2.0NRT,294.58,6.12,N,gujarat_industrial
21.10447,72.64493,344.27,0.57,0.43,2026-09-04,0801,N21,nominal,2.0NRT,298.24,26.51,D,gujarat_industrial
21.10295,72.63681,342.12,0.38,0.43,2026-09-04,0801,N21,nominal,2.0NRT,298.44,26.3,D,gujarat_industrial
21.10807,72.64812,317.42,0.53,0.42,2026-09-04,2029,N21,nominal,2.0NRT,292.51,3.67,N,gujarat_industrial
21.10421,72.64756,332.4,0.53,0.42,2026-09-04,2029,N21,nominal,2.0NRT,293.92,8.22,N,gujarat_industrial
21.10486,72.64244,309.95,0.53,0.42,2026-09-04,2029,N21,nominal,2.0NRT,291.22,5.9,N,gujarat_industrial
19.10266,82.16485,304.91,0.4,0.44,2026-09-04,2029,N21,nominal,2.0NRT,290.69,0.94,N,eastern_ghats_forest
19.10197,82.16858,309.55,0.4,0.44,2026-09-04,2029,N21,nominal,2.0NRT,292.06,0.94,N,eastern_ghats_forest
19.09797,82.16772,314.56,0.4,0.44,2026-09-04,2029,N21,nominal,2.0NRT,290.6,2.11,N,eastern_ghats_forest
19.08926,82.16974,302.41,0.4,0.44,2026-09-04,2029,N21,nominal,2.0NRT,290.76,1.06,N,eastern_ghats_forest
20.88799,84.98059,309.58,0.55,0.51,2026-09-04,2029,N21,nominal,2.0NRT,289.88,3.23,N,eastern_ghats_forest
20.89007,84.97992,305.71,0.55,0.51,2026-09-04,2029,N21,nominal,2.0NRT,289.61,1.65,N,eastern_ghats_forest
20.88442,84.98401,312.42,0.55,0.51,2026-09-04,2029,N21,nominal,2.0NRT,290.17,2.55,N,eastern_ghats_forest
20.86384,84.99004,330.69,0.55,0.51,2026-09-04,2029,N21,nominal,2.0NRT,290.64,4.5,N,eastern_ghats_forest
20.86278,84.99536,311.65,0.56,0.51,2026-09-04,2029,N21,nominal,2.0NRT,289.97,4.5,N,eastern_ghats_forest
22.93105,69.69788,309.78,0.57,0.52,2026-09-04,2029,N21,nominal,2.0NRT,292.98,4.33,N,gujarat_industrial
22.93502,69.69705,306.21,0.57,0.52,2026-09-04,2029,N21,nominal,2.0NRT,292.3,4.7,N,gujarat_industrial
22.41646,69.03892,304.38,0.62,0.54,2026-09-04,2029,N21,nominal,2.0NRT,291.66,2.29,N,gujarat_industrial
21.43282,72.97475,306.16,0.52,0.41,2026-09-04,2029,N21,nominal,2.0NRT,291.24,2.19,N,gujarat_industrial
19.09286,82.17107,333.96,0.39,0.36,2026-09-05,0739,N21,nominal,2.0NRT,298.66,4.83,D,eastern_ghats_forest
20.86294,84.99312,332.71,0.42,0.38,2026-09-05,0741,N21,nominal,2.0NRT,300.19,9.04,D,eastern_ghats_forest
20.86238,84.98907,332.44,0.42,0.38,2026-09-05,0741,N21,nominal,2.0NRT,298.19,4.32,D,eastern_ghats_forest
31.37815,74.56349,332.02,0.55,0.43,2026-09-05,0744,N21,nominal,2.0NRT,296.82,3.97,D,punjab_agriculture
29.47612,76.85525,303.57,0.48,0.48,2026-09-05,2008,N21,nominal,2.0NRT,287.24,0.57,N,punjab_agriculture
20.88697,84.98214,310.44,0.45,0.39,2026-09-05,2010,N21,nominal,2.0NRT,282.62,2.3,N,eastern_ghats_forest
21.1044,72.64349,308.08,0.35,0.57,2026-09-05,2010,N21,nominal,2.0NRT,287.78,2.29,N,gujarat_industrial
21.10406,72.64688,311.77,0.35,0.57,2026-09-05,2010,N21,nominal,2.0NRT,290.06,3.22,N,gujarat_industrial
21.09986,72.63612,301.42,0.35,0.57,2026-09-05,2010,N21,nominal,2.0NRT,286.78,0.87,N,gujarat_industrial
21.10568,72.64432,346.09,0.44,0.62,2026-09-06,0905,N21,nominal,2.0NRT,288.81,7.04,D,gujarat_industrial
21.10248,72.64528,336.07,0.44,0.62,2026-09-06,0905,N21,nominal,2.0NRT,287.71,4.62,D,gujarat_industrial
22.49434,70.02252,334.17,0.61,0.53,2026-09-06,0905,N21,nominal,2.0NRT,295.48,4.24,D,gujarat_industrial
29.47326,76.85646,324.33,0.47,0.64,2026-09-06,1949,N21,nominal,2.0NRT,290.26,4.33,N,punjab_agriculture
29.47356,76.85158,302.93,0.47,0.64,2026-09-06,1949,N21,nominal,2.0NRT,289.78,3.15,N,punjab_agriculture
29.47515,76.85677,331.04,0.47,0.64,2026-09-06,1949,N21,nominal,2.0NRT,290.31,5.28,N,punjab_agriculture
29.47548,76.85191,304.26,0.47,0.64,2026-09-06,1949,N21,nominal,2.0NRT,290.19,3.72,N,punjab_agriculture
20.88726,84.98001,317.45,0.4,0.37,2026-09-06,1951,N21,nominal,2.0NRT,292.25,2.84,N,eastern_ghats_forest
20.88332,84.98332,306.85,0.4,0.37,2026-09-06,1951,N21,nominal,2.0NRT,292.24,2.47,N,eastern_ghats_forest
20.86867,84.98887,306.01,0.4,0.37,2026-09-06,1951,N21,nominal,2.0NRT,291.79,1.47,N,eastern_ghats_forest
20.86811,84.9927,307.79,0.4,0.37,2026-09-06,1951,N21,nominal,2.0NRT,292.29,1.47,N,eastern_ghats_forest
20.8653,84.9883,323.32,0.4,0.37,2026-09-06,1951,N21,nominal,2.0NRT,292.15,1.65,N,eastern_ghats_forest
20.86473,84.99213,307.16,0.4,0.37,2026-09-06,1951,N21,nominal,2.0NRT,292.27,1.65,N,eastern_ghats_forest
20.86192,84.98773,312.63,0.4,0.37,2026-09-06,1951,N21,nominal,2.0NRT,289.97,1.65,N,eastern_ghats_forest
19.10446,82.16328,322.2,0.51,0.41,2026-09-06,1951,N21,nominal,2.0NRT,290.44,1.96,N,eastern_ghats_forest
19.10381,82.16806,310.01,0.51,0.41,2026-09-06,1951,N21,nominal,2.0NRT,291.73,1.96,N,eastern_ghats_forest
19.0963,82.16698,318.95,0.51,0.41,2026-09-06,1951,N21,nominal,2.0NRT,290.87,2.64,N,eastern_ghats_forest
29.47525,76.85799,324.48,0.54,0.68,2026-09-06,2129,N21,nominal,2.0NRT,289.53,3.96,N,punjab_agriculture
22.93151,69.70107,302.36,0.55,0.51,2026-09-06,2131,N21,nominal,2.0NRT,292.14,1.36,N,gujarat_industrial
21.10685,72.64314,298.83,0.46,0.64,2026-09-06,2131,N21,nominal,2.0NRT,284.33,1.82,N,gujarat_industrial
21.10587,72.64745,308.43,0.46,0.64,2026-09-06,2131,N21,nominal,2.0NRT,284.69,1.82,N,gujarat_industrial
